CustomerID,purchase_count,customer_lifetime_days,total_spend,avg_days_between_purchases,frequency_segment,revenue_segment,avg_order_value,median_order_value,std_order_value,order_count,Customer_Segment
12346,1,0,77183.6,0.0,Low,Platinum,77183.6,77183.6,,1,Need Attention
12347,182,365,4310.0,2.0054945054945055,Very High,Platinum,615.7142857142857,584.91,341.07078946836157,7,Champions
12348,31,282,1797.24,9.096774193548388,Medium,Platinum,449.31,338.5,301.1599183158343,4,Need Attention
12349,73,0,1757.55,0.0,High,Platinum,1757.55,1757.55,,1,Champions
12350,17,0,334.40000000000003,0.0,Low,Silver,334.40000000000003,334.40000000000003,,1,Need Attention
12352,85,260,2506.04,3.0588235294117645,High,Platinum,313.255,281.375,230.5931599778524,8,Loyal Customers
12353,4,0,89.0,0.0,Low,Bronze,89.0,89.0,,1,Need Attention
12354,58,0,1079.4,0.0,High,Gold,1079.4,1079.4,,1,Need Attention
12355,13,0,459.40000000000003,0.0,Low,Silver,459.40000000000003,459.40000000000003,,1,Need Attention
12356,59,302,2811.43,5.11864406779661,High,Platinum,937.1433333333333,481.46000000000004,1174.8942498937226,3,Champions
12357,131,0,6207.67,0.0,Very High,Platinum,6207.67,6207.67,,1,Champions
12358,19,149,1168.06,7.842105263157895,Medium,Gold,584.03,584.03,140.2475589805399,2,Potential Loyalists
12359,248,274,6372.58,1.1048387096774193,Very High,Platinum,1593.145,1474.1149999999998,1005.9421883488135,4,Loyal Customers
12360,129,148,2662.06,1.1472868217054264,Very High,Platinum,887.3533333333334,1043.78,306.0543908087798,3,Loyal Customers
12361,10,0,189.9,0.0,Low,Bronze,189.9,189.9,,1,Need Attention
12362,266,292,5226.2300000000005,1.0977443609022557,Very High,Platinum,522.623,487.17,166.05058794435706,10,Champions
12363,23,132,552.0,5.739130434782608,Medium,Silver,276.0,276.0,32.668333290818495,2,Need Attention
12364,85,104,1313.1,1.223529411764706,High,Gold,328.275,304.69,223.8464428278159,4,Champions
12365,22,0,641.38,0.0,Medium,Silver,320.69,320.69,0.0,2,Need Attention
12367,11,0,168.9,0.0,Low,Bronze,168.9,168.9,,1,At Risk
12370,167,309,3545.69,1.8502994011976048,Very High,Platinum,886.4224999999999,838.835,545.1848093001736,4,Loyal Customers
12371,63,14,1887.96,0.2222222222222222,High,Platinum,943.98,943.98,825.8724361546401,2,Loyal Customers
12372,52,224,1298.04,4.3076923076923075,High,Gold,432.68,399.22,72.3466847892839,3,Loyal Customers
12373,14,0,364.6,0.0,Low,Silver,364.6,364.6,,1,Need Attention
12374,33,0,742.9300000000001,0.0,Medium,Gold,742.9300000000001,742.9300000000001,,1,Loyal Customers
12375,17,87,457.5,5.117647058823529,Low,Silver,228.75,228.75,2.1920310216782832,2,Potential Loyalists
12377,77,39,1628.1200000000001,0.5064935064935064,High,Gold,814.06,814.06,265.10847440246033,2,Need Attention
12378,219,0,4008.62,0.0,Very High,Platinum,4008.62,4008.62,,1,Need Attention
12379,40,88,852.24,2.2,Medium,Gold,426.12,426.12,47.68728132322072,2,Need Attention
12380,104,164,2724.81,1.5769230769230769,Very High,Platinum,681.2025000000001,616.78,252.02131541796226,4,Champions
12381,87,115,1845.31,1.3218390804597702,High,Platinum,369.062,147.01,530.5532164825693,5,Champions
12383,99,167,1850.56,1.6868686868686869,High,Platinum,370.11199999999997,357.07,253.75093806723163,5,Need Attention
12384,27,92,585.27,3.4074074074074074,Medium,Silver,292.635,292.635,0.07778174593052987,2,Potential Loyalists
12386,10,29,401.9,2.9,Low,Silver,200.95000000000002,200.95000000000002,81.95367593952088,2,Need Attention
12388,100,311,2780.6600000000003,3.11,High,Platinum,463.4433333333333,358.85,327.1524836321233,6,Champions
12390,32,0,549.84,0.0,Medium,Silver,549.84,549.84,,1,Need Attention
12391,100,0,460.89,0.0,High,Silver,460.89,460.89,,1,Potential Loyalists
12393,64,260,1582.6000000000001,4.0625,High,Gold,395.65,442.05,151.42475579199942,4,Loyal Customers
12394,27,153,1272.48,5.666666666666667,Medium,Gold,636.24,636.24,360.850732575119,2,Potential Loyalists
12395,156,351,3018.63,2.25,Very High,Platinum,251.5525,253.27499999999998,74.69311385139987,12,Champions
12397,126,99,2409.9,0.7857142857142857,Very High,Platinum,1204.9499999999998,1204.9499999999998,13.944145724998656,2,Loyal Customers
12398,85,0,1635.6599999999999,0.0,High,Gold,1635.6599999999999,1635.6599999999999,,1,Loyal Customers
12399,59,142,1108.65,2.406779661016949,High,Gold,277.1625,248.835,150.3581919672708,4,Need Attention
12401,5,0,84.3,0.0,Low,Bronze,84.3,84.3,,1,Need Attention
12402,11,0,225.60000000000002,0.0,Low,Bronze,225.60000000000002,225.60000000000002,,1,Need Attention
12403,5,0,427.7,0.0,Low,Silver,427.7,427.7,,1,Potential Loyalists
12405,54,0,1710.39,0.0,High,Platinum,1710.39,1710.39,,1,Need Attention
12406,105,161,3415.3,1.5333333333333334,Very High,Platinum,1707.65,1707.65,122.1880517890353,2,Champions
12407,77,214,1708.12,2.779220779220779,High,Platinum,341.62399999999997,269.65999999999997,214.99532292587205,5,Loyal Customers
12408,105,227,2888.55,2.1619047619047618,Very High,Platinum,577.71,654.1800000000001,286.6105120193605,5,Champions
12409,109,103,11072.67,0.944954128440367,Very High,Platinum,3690.89,4860.64,3262.336652017998,3,Need Attention
12410,26,0,693.33,0.0,Medium,Gold,346.665,346.665,394.09182235869855,2,Need Attention
12412,61,94,1226.88,1.540983606557377,High,Gold,408.96000000000004,376.24,93.57361380218249,3,Need Attention
12413,38,270,758.1,7.105263157894737,Medium,Gold,252.70000000000002,194.20000000000002,203.7007056934266,3,Loyal Customers
12414,18,93,562.4100000000001,5.166666666666667,Medium,Silver,187.47000000000003,165.85000000000002,48.29698437790915,3,Need Attention
12415,716,313,124914.53,0.4371508379888268,Very High,Platinum,5948.310952380953,828.0,7774.349436419039,21,Champions
12417,192,354,3649.1,1.84375,Very High,Platinum,405.4555555555555,410.0,81.78530783568515,9,Champions
12418,34,0,668.58,0.0,Medium,Silver,668.58,668.58,,1,Need Attention
12420,29,0,600.39,0.0,Medium,Silver,600.39,600.39,,1,Potential Loyalists
12421,45,303,807.04,6.733333333333333,High,Gold,201.76,205.12,40.076354624641205,4,Loyal Customers
12422,39,229,803.5600000000001,5.871794871794871,Medium,Gold,267.8533333333333,238.5,137.20547559530317,3,Need Attention
12423,125,352,1859.31,2.816,Very High,Platinum,232.41375,223.28500000000003,83.74813634386993,8,Champions
